10289	9	10290	0
8429	9	8468	0
9384	9	9385	0
7184	5	7185	0
10357	9	10358	0
8276	9	8277	0
2340	5	6449	0
6881	5	6882	0
3399	3	5397	0
6525	5	6869	0
10132	9	10133	0
9370	9	9371	0
6383	5	6417	0
6785	5	6786	0
6807	5	6907	0
6499	5	6500	0
6596	5	6597	0
6584	9	10254	0
7954	9	7955	0
298	9	8838	0
9093	9	9094	0
6676	5	7207	0
7421	5	7422	0
7061	5	7062	0
9007	9	9008	0
8703	9	8704	0
234	5	6450	0
7552	9	7999	0
9935	9	9936	0
6855	5	6856	0
9521	9	9522	0
7137	5	7138	0
6676	5	7415	0
8311	9	8312	0
298	9	8679	0
8687	9	8688	0
7636	8	7663	0
7880	9	7881	0
7032	5	7033	0
9179	9	9180	0
6826	5	6827	0
8477	9	8478	0
9648	9	9649	0
1692	9	10377	0
4045	1	3846	0
3125	0	2999	0
6523	5	6524	0
8092	9	8727	0
6499	5	6730	0
7057	5	7058	0
6550	5	6551	0
8967	9	8968	0
7219	5	7220	0
8429	9	10140	0
7238	5	7239	0
7636	8	7719	0
9333	9	9334	0
10343	9	10344	0
7253	5	7254	0
6501	5	6729	0
1692	9	9269	0
10154	9	10155	0
8832	9	8833	0
6619	5	6620	0
6602	5	6603	0
9905	9	9906	0
9735	9	9736	0
2134	7	1303	0
1091	0	1092	0
10056	9	10057	0
10037	9	10038	0
6443	5	6444	0
8251	9	8252	0
6930	5	6931	0
3328	9	9771	0
8349	9	8350	0
6321	5	6322	0
6676	5	7116	0
7097	5	7098	0
8946	9	8947	0
570	0	155	0
8343	9	8344	0
7054	5	7055	0
8981	9	8982	0
6745	5	6746	0
708	0	139	0
1973	6	7459	0
5526	3	5494	0
7507	8	7783	0
1603	5	7225	0
4136	5	7164	0
2681	0	515	0
9259	9	10475	0
9652	9	9653	0
5287	9	7925	0
6501	5	6502	0
8429	9	8954	0
6723	5	6759	0
7061	5	7064	0
8429	9	9686	0
10602	9	8179	0
7640	8	7663	0
6781	5	6782	0
7526	8	7653	0
7071	5	7072	0
2044	7	55	0
3297	6	7459	0
8257	9	8258	0
8631	9	8632	0
1091	6	3848	0
7586	8	7653	0
2044	9	9647	0
5298	3	5467	0
6485	5	6768	0
2894	0	17	0
1258	0	67	0
6723	5	6724	0
2551	0	243	0
9157	9	9158	0
6185	8	7663	0
10600	9	8965	0
10260	9	10261	0
6951	5	6952	0
9735	9	9875	0
211	9	10293	0
6185	4	6184	0
9987	9	9988	0
2418	0	53	0
298	0	299	0
2116	8	7719	0
7040	5	7041	0
5481	3	5284	0
6568	5	6569	0
6897	5	6898	0
8676	9	8677	0
3297	0	81	0
6000	4	1117	0
8650	9	8651	0
6928	5	7377	0
7662	8	7719	0
6253	4	6252	0
7662	8	7663	0
1492	9	9590	0
10452	9	10453	0
4208	1	3860	0
6393	5	6394	0
7537	8	7674	0
6676	5	6677	0
1468	0	1469	0
7583	8	7719	0
8429	9	10078	0
8517	9	8472	0
8507	9	8508	0
5283	3	5563	0
2107	7	30	0
8092	9	10367	0
3399	3	5284	0
8302	9	8303	0
809	0	810	0
8782	9	8783	0
3780	7	316	0
1048	0	959	0
8276	9	9347	0
2418	8	7663	0
6877	5	6844	0
1233	0	478	0
10578	9	10579	0
7201	5	7202	0
8593	9	8594	0
7127	5	7325	0
6204	4	6205	0
6829	5	6830	0
298	9	10176	0
10345	9	10346	0
298	7	103	0
911	1	3846	0
8765	9	8766	0
1448	0	1144	0
1974	8	7783	0
878	8	7653	0
1296	0	17	0
7572	8	7663	0
7772	8	7663	0
